#DDG, density
-5.00000 0.00000
-4.89933 0.00000
-4.79866 0.00000
-4.69799 0.00000
-4.59732 0.00000
-4.49664 0.00001
-4.39597 0.00001
-4.29530 0.00002
-4.19463 0.00003
-4.09396 0.00005
-3.99329 0.00007
-3.89262 0.00011
-3.79195 0.00015
-3.69128 0.00021
-3.59060 0.00028
-3.48993 0.00038
-3.38926 0.00050
-3.28859 0.00065
-3.18792 0.00083
-3.08725 0.00106
-2.98658 0.00134
-2.88591 0.00169
-2.78523 0.00212
-2.68456 0.00267
-2.58389 0.00337
-2.48322 0.00427
-2.38255 0.00542
-2.28188 0.00690
-2.18121 0.00878
-2.08054 0.01117
-1.97987 0.01416
-1.87919 0.01789
-1.77852 0.02247
-1.67785 0.02803
-1.57718 0.03472
-1.47651 0.04265
-1.37584 0.05192
-1.27517 0.06261
-1.17450 0.07475
-1.07383 0.08830
-0.97315 0.10318
-0.87248 0.11919
-0.77181 0.13607
-0.67114 0.15346
-0.57047 0.17092
-0.46980 0.18798
-0.36913 0.20411
-0.26846 0.21880
-0.16779 0.23159
-0.06711 0.24208
0.03356 0.24998
0.13423 0.25513
0.23490 0.25750
0.33557 0.25719
0.43624 0.25442
0.53691 0.24950
0.63758 0.24279
0.73826 0.23471
0.83893 0.22566
0.93960 0.21602
1.04027 0.20612
1.14094 0.19626
1.24161 0.18664
1.34228 0.17742
1.44295 0.16871
1.54362 0.16056
1.64430 0.15297
1.74497 0.14592
1.84564 0.13937
1.94631 0.13328
2.04698 0.12758
2.14765 0.12222
2.24832 0.11715
2.34899 0.11235
2.44966 0.10779
2.55034 0.10346
2.65101 0.09937
2.75168 0.09552
2.85235 0.09195
2.95302 0.08865
3.05369 0.08565
3.15436 0.08293
3.25503 0.08050
3.35570 0.07833
3.45638 0.07639
3.55705 0.07464
3.65772 0.07304
3.75839 0.07155
3.85906 0.07011
3.95973 0.06870
4.06040 0.06728
4.16107 0.06582
4.26174 0.06432
4.36242 0.06276
4.46309 0.06113
4.56376 0.05943
4.66443 0.05767
4.76510 0.05585
4.86577 0.05397
4.96644 0.05204
5.06711 0.05006
5.16779 0.04805
5.26846 0.04602
5.36913 0.04397
5.46980 0.04193
5.57047 0.03989
5.67114 0.03787
5.77181 0.03589
5.87248 0.03393
5.97315 0.03201
6.07383 0.03013
6.17450 0.02829
6.27517 0.02650
6.37584 0.02476
6.47651 0.02308
6.57718 0.02146
6.67785 0.01992
6.77852 0.01845
6.87919 0.01708
6.97987 0.01580
7.08054 0.01462
7.18121 0.01355
7.28188 0.01259
7.38255 0.01174
7.48322 0.01102
7.58389 0.01041
7.68456 0.00992
7.78523 0.00953
7.88591 0.00923
7.98658 0.00902
8.08725 0.00886
8.18792 0.00874
8.28859 0.00863
8.38926 0.00852
8.48993 0.00838
8.59060 0.00821
8.69128 0.00799
8.79195 0.00774
8.89262 0.00745
8.99329 0.00713
9.09396 0.00681
9.19463 0.00649
9.29530 0.00619
9.39597 0.00593
9.49664 0.00571
9.59732 0.00555
9.69799 0.00544
9.79866 0.00539
9.89933 0.00539
10.00000 0.00543
